Ementa,Assunto
"Pedido de informação à Secretaria Municipal de Cultura, Esporte e Lazer a respeito dos Editais suspensos de Fomento à Cultura Política Nacional Aldir Blanc (PNAB) pela Fundação Cultural de Florianópolis Franklin Cascaes (FCFFC).",Gestão e Regulação da Cultura e Lazer
SOLICITA SESSÃO SOLENE EM HOMENAGEM AOS 190 ANOS DA POLÍCIA MILITAR DE SANTA CATARINA NO DIA 05 DE MAIO.,Sessão Solene
AUTORIZA O PREFEITO MUNICIPAL A UTILIZAR ATÉ 10% (DEZ POR CENTO) DAS Emenda IMPOSITIVAS DESTINADAS A OBRAS E SERVIÇOS PÚBLICOS EM CASO DE ESTADO DE EMERGÊNCIA OU CALAMIDADE PÚBLICA.,Planejamento e orçamento público
Desarquivamento de Projetos de Lei de Autoria do Ver. Bericó,Desarquivamento de proposição
"Requer a CASAN averiguar rompimento de tubulação de esgoto na Rua Morro do Mocotó, 226 - Centro.",Rede de esgotamento sanitário
"MOÇÃO DE APLAUSOS AO DEPUTADO FEDERAL NIKOLAS FERREIRA, POR SEU EMPENHO NA DEFESA DA LIBERDADE ECONÔMICA.",Moção de aplausos
Requer a CASAN averiguar a qualidade da água na Servidão Maria Silva Ramos 198 - Ingleses do Rio Vermelho.,Rede de abastecimento de água
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de vistoriar, por meio da Defesa Civil Municipal, a estrutura do canal do Parque São Jorge, em toda sua extensão, localizado na Avenida Buriti – Bairro Parque São Jorge.",Gestão e proteção de corpos hídricos e áreas associadas
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de adotar medidas para a revitalização da Praça Willian Silva Pereira de Souza, conhecida como Praça dos Skatistas, localizada na Avenida Atlântica, bairro Jardim Atlântico.",Criação e manutenção de área de lazer e atividade física
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de providenciar a instalação de estrutura adequada no ponto de embarque e desembarque de passageiros de aplicativos de transporte, como Uber, localizado no Terminal de Integração do Centro.",Organização do trânsito
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de solicitar a recolocação da placa de identificação da Rua Nova Esperança, localizada no bairro Monte Cristo, CEP 88090-068. A ausência da referida placa tem causado transtornos significativos aos moradores e visitantes.",Organização do trânsito
"Requer realização de Audiência Pública no âmbito da Comissão de Viação, Obras Públicas e Urbanismo.",Serviços de transporte individual privado
Solicita realização de Sessão Solene em comemoração aos 45 anos de fundação do Partido dos Trabalhadores (PT).,Sessão Solene
SOLICITA GRANDE EXPEDIENTE DA CÂMARA PARA TRATAR SOBRE O DIA MUNDIAL DA CONSCIENTIZAÇÃO DO AUTISMO. ,Uso do Grande Expediente para homenagem
"Susta o Decreto n. 27.313, de 31 de dezembro de 2024, que reajustou a tarifa para o Transporte Coletivo Urbano de Florianópolis.",Transporte público
SOLICITA O DESARQUIVAMENTO DO PL 18072/2020.,Desarquivamento de proposição
Arquivamento do Projeto de Lei Complementar nº 1.973/2025,Arquivamento de proposição
"Requer à Secretaria Municipal do Meio Ambiente e Desenvolvimento Sustentável e à Secretaria Municipal de Limpeza e Manutenção Urbana, informações em relação ao Programa Floripa Lixo Zero.",Educação ambiental
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de solicitar a substituição e modernização dos pontos de ônibus localizados no Balneário do Estreito e em toda a região continental, considerando as condições precárias em que se encontram atualmente",Manutenção de pontos de ônibus
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de instalação de iluminação pública na Alameda Moçambique, no bairro São João do Rio Vermelho.",Iluminação pública
" A Vereadora que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de reparar calçamento do Largo da Catedral Metropolitana, localizado em frente à Praça XV de Novembro, na Rua Padre Miguelinho, 321, Centro.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de que realize uma fiscalização urgente em um imóvel que se encontra em estado de abandono, com acúmulo de entulhos e mato excessivo, gerando transtornos aos moradores vizinhos na Servidão Butiá, 125 – Monte Cristo, Florianópolis/SC.",Limpeza Urbana
CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO AO DR. HARISSON ARAÚJO ALMEIDA,Título de cidadã e cidadão honorário
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de realizar uma fiscalização urgente no restaurante Rosso, localizado na Rod. Gilson da Costa Xavier, 201 - Santo Antônio de Lisboa, Florianópolis - SC, 88051-000, diante de denúncias recebidas de moradores sobre o despejo irregular de esgoto diretamente no mar.",Rede de esgotamento sanitário
"Requer a CASAN averiguar entupimento da rede de esgoto na Rua General Vieira da Rosa, 202 - Centro.",Rede de esgotamento sanitário
Requer a CASAN averiguar ligação da rede de esgoto na Servidão Angra dos Reis - Ingleses do Rio Vermelho.,Rede de esgotamento sanitário
Requerimento de Informações sobre as Medidas e Planejamentos Adotados para Catástrofes Climáticas,Mudanças climáticas
"Pedido de informação à Secretaria Municipal de Transportes e Infraestrutura, acerca de buraco localizado na rua de mão inglesa, na Praça Tancredo Neves, esquina com a Rua Dr. Álvaro Milen da Silveira.",Manutenção da infraestrutura viária
REQUERIMENTO DE DESARQUIVAMENTO DOS PROJETOS ARQUIVADOS PELO TÉRMINO DA LEGISLATURA,Desarquivamento de proposição
CONSTITUIÇÃO DE BLOCO PARLAMENTAR,Bloco Parlamentar
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de que sejam realizados reparos na Rua Fernando Machado, em frente ao Cacalhada Comedy Club n° 79 , localizada no Centro de Florianópolis.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de realizar a restauração da  Rua Hipólito Mafra, no Saco dos Limões, reparando, especialmente, o buraco próximo à entrada da Rua (foto). ",Manutenção da infraestrutura viária
"O Vereador que subscreve, diante de denúncia feita por moradores do bairro Jardim Atlântico sobre vazamento de esgoto na Praia do Jardim Atlântico (ponto 01 do cadastro do IMA de balneabilidade), entre a Avenida Atlântico e a Rua Elesbão Pinto da Luz, requer os seguintes procedimentos: 1. Que o Executivo, através dos órgãos competentes, acione a concessionária prestadora de serviço de água e esgoto no município (CASAN), para que fiscalize possíveis ligações irregulares de esgoto na rede pluvial, já que o mapa de abrangência da rede de esgoto da concessionária indica que o bairro citado, consta como contemplado com sistema inteiramente ligado e com sua estação de tratamento funcionando (EE Felipe Neves/Coloninha). 2. Que o Executivo, através da Secretaria de Municipal de Meio Ambiente e Desenvolvimento Sustentável, questione o IMA/SC, órgão responsável pela análise de balneabilidade, sobre a metodologia de análise das coletas. Por todo o exposto, solicito urgência para lidar com as demandas.",Rede de esgotamento sanitário
Requer informações a respeito da manutenção das fossas em escolas municipais.,Manutenção da estrutura escolar
Requer a CASAN averiguar e regularizar o fornecimento de água nas ruas do Bairro Carvoeira.,Rede de abastecimento de água
MOÇÃO DE REPÚDIO À PERFORMANCE DO BLOCO DA LAJE PELO ESCÁRNIO A JESUS CRISTO.,Moção de repúdio
"DISPÕE SOBRE A PROIBIÇÃO DE ATOS DE DESRESPEITO A DOGMAS, CRENÇAS E RITOS RELIGIOSOS DA RELIGIÃO CRISTÃ E DE OUTRAS RELIGIÕES NO ÂMBITO DO MUNICÍPIO DE FLORIANÓPOLIS.",Decoro e conduta em espaços públicos
INSTITUI O PROGRAMA DE UTILIZAÇÃO DE CADEIRAS ANFÍBIAS PARA PESSOAS COM DEFICIÊNCIA NAS PRAIAS DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.,Acessibilidade
"Dá nova redação ao § 5º do art. 8º da Lei Complementar nº 374/2010 que “Dispõe sobre a regularização de construções irregulares e clandestinas na forma que especifica, de atividade não residencial sem licença para funcionamento e dá outras providências”",Regularização fundiária
DISPÕE SOBRE A OBRIGATORIEDADE DE AFIXAÇÃO DE CARTAZ INFORMATIVO ACERCA DA LEI Nº 19.233/2025 DO ESTADO DE SANTA CATARINA NAS INSTITUIÇÕES DE ENSINO PÚBLICAS E PRIVADAS NO MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS,Gestão da política educacional
Desarquivamento do Projeto de Lei Complementar n. 01956/2024.,Desarquivamento de proposição
"Requer o desarquivamento dos projetos em nome da ex-Vereadora Maryanne Mattos, do Partido Liberal, arquivados ao final da legislatura",Desarquivamento de proposição
"Pedido de informação à Secretaria Municipal de Habitação e Desenvolvimento Urbano, acerca da padronização das prestações de serviços nas calçadas desta cidade.",Alvarás e liberações administrativas
"Requer, à Secretaria Municipal de Saúde, informações referentes aos repasses do Piso Nacional da Enfermagem (PNE).",Trabalhadores da saúde
Requerimento de informações sobre os quiosques no município de Florianópolis.,Alvarás e liberações administrativas
Requerimento de informações sobre os contratos de concessão do município de Florianópolis.,Gestão e Regulação da Mobilidade Urbana
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de que sejam realizados reparos em asfalto da Avenida Santa Catarina, próximo ao n° 429 (via lateral do estádio Orlando Scarpelli) , localizada no Bairro Canto. Recebemos imagens de moradores, que mostram um grande buraco na via, além de espaços com rachaduras.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de solicitar galeria de escoamento de água começando na região da praça do João Paulo seguindo pela Servidão Natalícia Pereira indo até o final da Rua João Pio do Valê Pereira, chegando até ao mar.",Rede de drenagem
"A Vereadora que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de indicar reparo em placas da passarela do bairro João Paulo, localizada Rodovia João Paulo nº 50,",Organização do trânsito
Requerimento de informações sobre o aumento do IPTU no município de Florianópolis.,Planejamento e orçamento público
"O vereador que subscreve este documento apresenta a Vossa Excelência a presente indicação para ser apreciada em Plenário e encaminhada ao Excelentíssimo Senhor Topázio Neto, Prefeito do Município de Florianópolis, solicitando que o Poder Executivo encaminhe a questão à secretaria responsável. Solicita-se a realização de obras de drenagem em toda a extensão da Servidão Loduvina Pires, localizada no bairro Armação do Pântano do Sul, tendo em vista que a infraestrutura atual encontra-se condenada.",Rede de drenagem
"Requer a CELESC averiguar a iluminação na Servidão Caminho da Prainha, 100 - Barra da Lagoa.",Iluminação pública
Arquivamento do PROJETO DE LEI N.º 19443/2025.,Arquivamento de proposição
"PEDIDO DE DESARQUIVAMENTO DOS PROEJTOS DE LEI DE AUTORIA DO VEREADOR JOÃO COBALCHINI, EM RAZÃO DO FINAL DA LEGISLATURA.",Desarquivamento de proposição
REQUER A RECRIAÇÃO DA FRENTE PARLAMENTAR DE APOIO À AGROECOLOGIA E À SEGURANÇA E SOBERANIA ALIMENTAR E NUTRICIONAL (SSAN),Frente Parlamentar
REQUERIMENTO PARA CRIAÇÃO DE FRENTE PARLAMENTAR DE DESENVOLVIMENTO ECONÔMICO.,Frente Parlamentar
REQUERIMENTO PARA CRIAÇÃO DE FRENTE PARLAMENTAR PELA SEGURANÇA JURÍDICA,Frente Parlamentar
REQUER A CRIAÇÃO DA FRENTE PARLAMENTAR EM DEFESA DA FÉ CRISTÃ,Frente Parlamentar
REQUER A CRIAÇÃO DA FRENTE PARLAMENTAR DO CONTINENTE,Frente Parlamentar
DESARQUIVAMENTO DE PROJETOS DE AUTORIA DO VEREADOR JOSIMAR PEREIRA.,Desarquivamento de proposição
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de determinar aos proprietários, ou a municipalidade realizar a limpeza de imóveis abandonados na Rua José Bonifácio, números 333 e 334, no bairro Estreito.",Limpeza Urbana
"A Vereadora que esta subscreve requer o envio de expediente ao Chefe do Poder Executivo e ao Secretário Municipal de Infraestrutura e Manutenção da Cidade de Florianópolis, solicitando a instalação de uma placa de “Proibido Estacionar” na Rua dos Marimbaus, em Jurerê Internacional.",Organização do trânsito
"A Vereadora que esta subscreve, requer o envio de expediente ao Chefe do Poder Executivo e ao Secretário Municipal de Infraestrutura e Manutenção da Cidade, sugerindo a possibilidade de ampliação dos horários da linha 847 TIRIO/TITRI via UFSC.",Transporte público
"O vereador que subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, em que sugere providências ao órgão competente para realização da drenagem e pavimentação em toda a extensão da Servidão Passaredo, localizada no Bairro Rio Tavares, via essa a qual é oficial e não foi contemplada com tais serviços de infraestrutura.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências urgentes do órgão competente a fim de que seja providenciada a reinstalação de uma placa com denominação da Avenida Vinícius de Moraes (CEP 88037-240), localizada no Bairro Córrego Grande. Os moradores da região relatam que, desde 2024, reivindicam a reinstalação da placa com nome da rua, que foi retirada em função de uma troca de poste, e desde então vem enfrentando imprevistos em função da sua falta. ",Organização do trânsito
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de sejam realizados reparos de buraco na Rua Felipe Schmidt, localizada no Centro, na altura do Top Market, próximo ao nº 882. As imagens do buraco encontra-se nos anexos desta indicação.",Manutenção da infraestrutura viária
Requer a CASAN averiguar ligação da rede de esgoto na Servidão Andre Conoeiro - Vargem Grande.,Rede de esgotamento sanitário
"Requer a CASAN averiguar a qualidade da água na Rua dos Pinheiros 145 - Ingleses do Rio Vermelho.",Rede de abastecimento de água
Requer a CASAN averiguar ligação da rede de esgoto na Rua Morro do Mocotó 160 - Centro.,Rede de esgotamento sanitário
"Autoriza o Poder Executivo Municipal a promover a passagem do cargo de Auxiliar de Sala para o Quadro do Magistério e dá outras providências.",Trabalhadores da educação
REQUER A CRIAÇÃO DE FRENTE PARLAMENTAR EM DEFESA DO AUTISMO.,Frente Parlamentar
"Requer realização de Audiência Pública no âmbito da Comissão de Trabalho, Legislação Social e Serviço Público.",Trabalhadores da educação
"Requer a CELESC averiguar a iluminação na Estrada João Belarmino da Silva, 2528 - Costa de Dentro - Pântano do Sul.",Iluminação pública
CRIAÇÃO DE UMA FRENTE PARLAMENTAR PARA O DESENVOLVIMENTO DO DESPORTO ADAPTADO (PARADESPORTO),Frente Parlamentar
"Solicita a instalação de lixeiras na extensão das vias Av. Juscelino Kubitschek (PC3), Rua Manoel Pizzolati, Rua Gualberto Senna, Rua Elesbão Pinto da Luz e Av. Atlântica.",Limpeza Urbana
"Solicitar a instalação de uma placa de ""Carga e Descarga"" na R. Osvaldo Cruz, 24 - Balneario, Florianópolis - SC, 88075-270, esquina com a loja Super Trato",Organização do trânsito
"Apoio à construção do TEA Tapera, incluindo o fornecimento de materiais e suporte necessário para a conclusão das obras, promovendo a inclusão social no bairro Tapera.",Pessoas com deficiência e neurodivergentes
"limpeza urbana na Rua Laurindo Marcelino da Silva, visando a remoção de mato e resíduos acumulados",Limpeza Urbana
indicação para a viabilidade da instalação de banheiros inteligentes na Beira-Mar Continental.,Criação e manutenção de área de lazer e atividade física
"Solicitar a instalação de duas lixeiras na Rua Osvaldo de Oliveira, nº 170, bairro Capoeiras, Florianópolis - SC.",Limpeza Urbana
"Solicitação de reparo e manutenção da galeria pluvial situada na Servidão Luiz Carlos Theodorico Gomes, CEP 88034-688, no bairro Itacorubi.",Rede de esgotamento sanitário
"Solicitação de implementação de um sistema de drenagem na Servidão Maria Oliveira Nunes, bairro Santinho.",Rede de drenagem
Solicitação de regularização da coleta de resíduos no bairro Estreito.,Limpeza Urbana
Desassoreamento no Rio Papaquara - Servidão Braulina Machado - Vargem Grande.,Gestão e proteção de corpos hídricos e áreas associadas
DENOMINA VIA PÚBLICA LOCALIZADA NO BAIRRO DO CAMPECHE COMO SERVIDÃO ISAURO JOSÉ MARTINS.,Legalização e denominação de vias e espaços públicos
Requer esclarecimentos da Secretaria de Assistência Social acerca da reforma do Restaurante Popular de Florianópolis e da mudança na população alvo de seus serviços,Segurança alimentar e nutricional
"ESTABELECE O PRINCÍPIO DA CONFIANÇA, RECONHECENDO A AUTODECLARAÇÃO COMO INSTRUMENTO VÁLIDO EM PROCEDIMENTOS ADMINISTRATIVOS NO MUNICÍPIO DE FLORIANÓPOLIS, E DÁ OUTRAS PROVIDÊNCIAS.",Alvarás e liberações administrativas
Requer a CELESC averiguar na iluminação Rua Treze de Maio 329 - Morro do Mocotó - Centro,Iluminação pública
"Requer a CELESC averiguar a iluminação na Servidão Braulina Machado - Vargem Grande - Papaquara.",Iluminação pública
Requerimento de informações sobre a frota de motocicletas no município de Florianópolis.,Gestão e Regulação da Mobilidade Urbana
Requerimento de informações acerca do volume de atendimentos médicos realizados em função de acidentes de trânsito em Florianópolis.,Gestão e Regulação da Saúde Pública
REQUER A RECRIAÇÃO DA FRENTE PARLAMENTAR DE SAÚDE MENTAL.,Frente Parlamentar
Solicita cópia do Ato de Rescisão do Termo de Colaboração PMF - Instituto Aminc.,Segurança alimentar e nutricional
Solicita documentos oficiais a respeito de instalação de parklets.,Alvarás e liberações administrativas
"REQUER TRIBUNA LIVRE A SER CONCEDIDA À SRA. MARGARETH CARREIRÃO, PRESIDENTE E FUNDADORA DA ASSOCIAÇÃO CATARINENSE DE DOENÇAS RARAS, EM RAZÃO DO DIA MUNDIAL DAS DOENÇAS RARAS.",Prevenção e combate de doenças
"Solicita reparo de buraco na Rua Felipe Neves, no Bairro Coloninha",Manutenção da infraestrutura viária
Reforma da praça localizada na Servidão Palmeiras Verdes,Criação e manutenção de área de lazer e atividade física
"Solicita a reposição de lombadas na Rua Laurindo Januário da Silveira, no Bairro Lagoa da Conceição",Organização do trânsito
"Venho, por meio deste, solicitar a instalação de uma lombada na Rua do Iamim, CEP 88058-610, em frente ao número 1358, no bairro Canasvieiras. Esta solicitação baseia-se em um pedido antigo dos moradores da localidade, com o intuito de garantir a ordem e a segurança daqueles que utilizam a via.",Organização do trânsito
"Solicitação para a continuação da pavimentação da Rua Bayer Filho, no bairro Coqueiros.",Manutenção da infraestrutura viária
Solicita notificação de proprietário de imóvel alagado no bairro Monte Verde.,Controle sanitário e vigilância em saúde
"Solicitando a revitalização da quadra de esportes localizada na Servidão Escadaria da Bica (subindo a escadaria da Igreja Assembleia de Deus, no final da escada), situada no bairro Centro, na Comunidade da Mariquinha, no município de Florianópolis.",Criação e manutenção de área de lazer e atividade física
Requer informações sobre o cronograma desta assessoria para a V Conferência Nacional de Políticas para Mulheres a ser realizada em Brasília em Setembro de 2025.,Política para mulheres
"Requer informações sobre o cronograma da Secretaria Estadual para a V Conferência Nacional de Políticas para Mulheres, a ser realizada em Brasília em Setembro de 2025.",Política para mulheres
"Requer a CASAN averiguar e reparar vazamento de esgoto na Servidão Escadaria da Bica, no bairro Centro (Comunidade da Mariquinha).",Rede de esgotamento sanitário
"Requerimento de informações acerca do valor arrecadado com o ISS dos aplicativos de intermediação de transporte, hospedagem e entrega no município de Florianópolis.",Planejamento e orçamento público
"INCLUI ITEM NO ANEXO IV DA LEI N. 10.482, DE 2019 - MAIO VERMELHO: MÊS MUNICIPAL DE CONSCIENTIZAÇÃO E PREVENÇÃO DO ACIDENTE VASCULAR CEREBRAL (AVC). ",Mês Municipal
"Dispõe sobre a proibição de execução de músicas e videoclipes com letras e coreografias que façam apologia ao crime, ao uso de drogas ou apresentem conteúdos de natureza sexual ou erótica nas unidades escolares da rede de ensino do Município de Florianópolis.",Material didático
"Requer à Secretaria Municipal de Educação, informações referentes ao novo Piso do Magistério.",Gestão da política educacional
Concede Medalha João Davi Ferreira Lima à Derlei Catarina de Luca,Medalha Professor João David Ferreira Lima
Requer a juntada de documento ao PL nº. 19417/2024.,Juntada de documento
Requer a juntada de documento ao PL nº. 19405/2024.,Juntada de documento
Requer Grande Expediente para a Homenagear as Lojas  Koerich pela comemoração de 70 anos de atividades.,Sessão Solene
"Requer o deslocamento do poste de iluminação na Servidão Julio Petroski, n° 320 - Ingleses",Iluminação pública
"Requer à Prefeitura à Secretaria Municipal de Assistência Social de Florianópolis, informações sobre os Programas de Assistência Social da MÉDIA COMPLEXIDADE executados no ano de 2024.",Rede de Assistência Social
Requer a realização de Audiência Pública no âmbito da Comissão de Turismo e Assuntos Internacionais (CTAI) para debater a aplicação das leis de turismo do município.,Regulação e fomento ao turismo
SOLICITA PROVIDÊNCIAS Á CELESC PARA REALOCAÇÃO DE UM POSTE LOCALIZADO EM FRENTE Á IGREJA DE SÃO FRANCISCO DE PAULA NO BAIRRO DE CANASVIEIRAS.,Iluminação pública
"solicita o envio de expediente ao Superintendente Regional do DNIT no Estado de Santa Catarina, solicitando a manutenção da passarela localizada ao lado da Praça Novo Horizonte, na Rua Paralela Novo Horizonte, às margens da BR 282 (via expressa) no bairro Monte Cristo, na região continental desta Capital.  ",Manutenção da infraestrutura viária
"Solicitação de cuidados emergenciais no tráfego do local e reparo da ponte na Rua Walter Gomes, bairro Santo Antônio de Lisboa.",Manutenção da infraestrutura viária
"Solicitação de providências referente à obra na Rua das Ostras, no bairro Sambaqui.",Impactos urbanísticos de empreendimentos
Sugestão de mudança de horário da Coleta Seletiva no bairro Cachoeira do Bom Jesus.,Limpeza Urbana
"Solicitação de manutenção da rede da goleira do campo de futebol comunitário da Servidão Manoel Félix da Silva, 25, no bairro Itacorubi.",Criação e manutenção de área de lazer e atividade física
"Solicitar que seja feito o reparo nas lajotas na Servidão Vassourinha, 176 - Rio Tavares, Florianópolis - SC, 88048-370.",Manutenção da infraestrutura viária
"Revitalização da Rua Evangelina Tavares Moellmann, Lote 3 - Açores",Rede de drenagem
"Solicitar o envio de caminhão hidrojato no bairro Capoeiras, para a Rua Francisco Belmiro e Travessa Onestino Francisco da Silva.",Limpeza Urbana
"Solicitação para ao reparo de um buraco localizado na Rua Felipe Neves n° 1493, o referido buraco tem causado transtornos aos motoristas e pedestres que transitam pelo local, podendo resultar em acidentes e danos aos veículos. A situação se agravou recentemente devido às chuvas que junto veio restos de entulhos obstruindo ainda o bueiro.",Manutenção da infraestrutura viária
"Solicitar a recuperação da malha asfáltica por toda a extensão da Rua Joaquim Carneiro, no bairro Capoeiras.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, solicitando informações sobre o estudo para a implementação de acesso à rua Procurador Abelardo Gomes, que teve seu início em 2023 junto a Secretaria Municipal de Planejamento e Inteligência Urbana. O referido projeto prevê a alteração da faixa exclusiva de ônibus, bem como a reestruturação da via para permitir o tráfego de veículos em duas faixas.",Gestão e Regulação da Mobilidade Urbana
"Venho, por meio deste, solicitar a instalação de um semáforo para pedestres no cruzamento da avenida marinheiro Max Schramm, na frente do n° 3091, visando à melhoria da mobilidade e a segurança da população que transita diariamente pelo local.",Organização do trânsito
"Senhor Presidente, O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, solicitando que a Rua Intendente Antônio Damasco, localizada no bairro Ratones, nesta Capital, seja pavimentada da Igreja Nossa Senhora dos Remédios e Cemitério Distrital de Ratones nº 2452 até a altura da entrada da Servidão Daniel José Homem, conforme croqui anexo.",Manutenção da infraestrutura viária
"Venho solicitar, em caráter de urgência, a poda ou remoção de uma árvore localizada na Rua Carlos Ausgusto Domingues n°173 fundos, que apresenta risco iminente de queda sobre uma residência na qual mora uma senhora de 83 anos.",Limpeza Urbana
"Solicita reparos em buraco na Rua Santos Saraiva, localizada no Bairro Estreito",Manutenção da infraestrutura viária
"Solicita reparos em buraco/cratera na Rua Prof. Belarmino Corrêa, localizada no Bairro Trindade",Manutenção da infraestrutura viária
"Solicita reparos no NEIM Orlandina Cordeiro, no bairro Monte Verde.",Manutenção da estrutura escolar
Concede Medalha Antonieta de Barros à Cauane Gabriel Azevedo Maia,Medalha Antonieta de Barros
"Requer a CASAN averiguar ligação da rede de esgoto na Rua 25 de Novembro - Serrinha - Trindade.",Rede de esgotamento sanitário
Indica a criação de um 5º e um 6º Conselhos Tutelares de Florianópolis,Direitos de Crianças e Adolescentes
"Requer tribuna livre a ser concedida à Sra. Vanessa Cristina Brasil Souza, representante do Movimento Vida Além do Trabalho (VAT)",Direitos e condições de trabalho
"Proíbe a contratação de shows, artistas e eventos abertos ao público infantojuvenil que envolvam, no decorrer da apresentação, expressão de apologia ao crime organizado ou ao uso de drogas e dá outras providências.","Compras, contratos e patrimônio público"
"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DE PROPRIETÁRIOS, MORADORES E AMIGOS DE JURERÊ TRADICIONAL E JURERÊ INTERNACIONAL - ""AVANTE JURERÊ INTERNACIONAL""",Título de utilidade pública
"O vereador que subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, em que sugere providências ao órgão competente para realização da pavimentação e drenagem do trecho oficial, porém, que ainda não foi contemplada com tais serviços, na Servidão Pedro Castanho, localizada no Bairro Alto Ribeirão.",Manutenção da infraestrutura viária
"O vereador que subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, em que sugere providências ao órgão competente para realização de drenagem e pavimentação em toda extensão da Servidão Luiza Francisca Guimarães, localizada no Bairro Rio Tavares, via essa a qual é oficial e não foi contemplada com tais serviços de infraestrutura.",Manutenção da infraestrutura viária
"DESARQUIVAMENTO DOS PROJETOS DE LEI N.º 19389/2024, 19383/2024, 19354/2024, 19348/2024, 19340/2024, 19201/2024, 19132/2024, 18897/2023, 18847/2023, 18783/2023, 18771/2023, 18769/2023, 18692/2023, 18688/2023, 18669/2023, 18610/2023, 18421/2022, 18420/2022, 18391/2022, 18314/2021, 18308/2021, 18305/2021, 18186/2021, 18134/2020, 18162/2020, 18097/2020, 18036/2020, 18000/2020, 17990/2019, 17972/2019, 17954/2019.  ",Desarquivamento de proposição
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de solicitar que seja feito o reparo do buraco na subida da R. Douglas Seabra Levier, 204 - Trindade, que tem causado transtornos para a comunidade local. Recebemos diversas reclamações de moradores e motoristas que passam pelo local, destacando os riscos e dificuldades de trafegabilidade na via.",Manutenção da infraestrutura viária
"O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo providências do órgão competente a fim de sugerir providências do órgão competente a fim de solicitar a limpeza e manutenção do parquinho da NEIM Cristo Redentor, localizado na R. Valdemiro Monguilhot, 5 - Centro, Florianópolis - SC, 88020-330.",Manutenção da estrutura escolar
"A Vereadora que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, com base nas necessidades e demandas da comunidade local, visando a realização de reparos e melhorias na infraestrutura da Rua Nossa Senhora de Fátima, no bairro Areias do Campeche, aprimorar o sistema de escoamento das águas pluviais na referida via.",Rede de drenagem
"DENOMINA VIA PÚBLICA, SERVIDÃO ANTÔNIO JOSÉ DA LUZ AMARAL FILHO, NO MUNICÍPIO DE FLORIANÓPOLIS/SC.  ",Legalização e denominação de vias e espaços públicos
Requer a CASAN averiguar implantação e ativação da rede coletora no bairro Monte Verde.,Rede de esgotamento sanitário
